Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196401,Water - Precipitation - unspecified (not reported),1964-01-15,1964-01-01,1964-01-31,,,,,,,,,82,14.7,12
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196402,Water - Precipitation - unspecified (not reported),1964-02-15,1964-02-01,1964-02-29,,,,,,,,,112,13.1,11.4
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196403,Water - Precipitation - unspecified (not reported),1964-03-15,1964-03-01,1964-03-31,,,,,,,,,138,12.1,10.5
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196404,Water - Precipitation - unspecified (not reported),1964-04-15,1964-04-01,1964-04-30,,,,,,,,,130,10.7,10.5
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196405,Water - Precipitation - unspecified (not reported),1964-05-15,1964-05-01,1964-05-31,,-5.1,University of Copenhagen,-29.8,University of Copenhagen,48.9,2.8,International Atomic Energy Agency,375,9.6,10.1
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196406,Water - Precipitation - unspecified (not reported),1964-06-15,1964-06-01,1964-06-30,,-3.5,University of Copenhagen,-21.1,University of Copenhagen,18.3,1.1,International Atomic Energy Agency,252,5.9,7.9
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196407,Water - Precipitation - unspecified (not reported),1964-07-15,1964-07-01,1964-07-31,,-10.7,University of Copenhagen,-67,University of Copenhagen,36.7,1.9,International Atomic Energy Agency,223,6.7,8.1
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196408,Water - Precipitation - unspecified (not reported),1964-08-15,1964-08-01,1964-08-31,,-3.5,University of Copenhagen,-17.4,University of Copenhagen,36.6,2,International Atomic Energy Agency,268,7.3,8.3
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196409,Water - Precipitation - unspecified (not reported),1964-09-15,1964-09-01,1964-09-30,,-5.6,University of Copenhagen,-35.4,University of Copenhagen,56.5,3.2,International Atomic Energy Agency,180,7.6,7.9
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196410,Water - Precipitation - unspecified (not reported),1964-10-15,1964-10-01,1964-10-31,,-5.1,University of Copenhagen,-33.5,University of Copenhagen,25.7,1.4,International Atomic Energy Agency,67,10.7,9.2
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196411,Water - Precipitation - unspecified (not reported),1964-11-15,1964-11-01,1964-11-30,,,,,,26.1,1.6,International Atomic Energy Agency,169,12.1,9.8
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196412,Water - Precipitation - unspecified (not reported),1964-12-15,1964-12-01,1964-12-31,,,,,,,,,144,14,11.1
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196501,Water - Precipitation - unspecified (not reported),1965-01-15,1965-01-01,1965-01-31,,-4.3,University of Copenhagen,-19.9,University of Copenhagen,10.6,0.6,International Atomic Energy Agency,102,14.7,12
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196502,Water - Precipitation - unspecified (not reported),1965-02-15,1965-02-01,1965-02-28,,-7.24,University of Copenhagen,-48.6,University of Copenhagen,28.6,1.6,International Atomic Energy Agency,198,14.6,12.6
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196503,Water - Precipitation - unspecified (not reported),1965-03-15,1965-03-01,1965-03-31,,-2.3,University of Copenhagen,,,,,,73,12.9,11.4
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196504,Water - Precipitation - unspecified (not reported),1965-04-15,1965-04-01,1965-04-30,,,,,,34.9,1.7,International Atomic Energy Agency,229,10,9.8
GNIP,GNIP/M/CL/01,PUERTO MONTT (LA CHAMIZA),CL,8580100,-41.47,-72.93,13,Precipitation collectors - unknown,"[Partners: Direccion Meteorologica de Chile, CCHEN]",196505,Water - Precipitation - unspecified (not reported),1965-05-15,1965-05-01,1965-05-31,,-5.33,University of Copenhagen,-31.3,University of Copenhagen,21.4,1.2,International Atomic Energy Agency,169,7.1,7.8
