Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195301,Water - Precipitation - snow,1953-01-15,1953-01-01,1953-01-31,,,,,,,,,61,-7.1,3.1
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195302,Water - Precipitation - snow,1953-02-15,1953-02-01,1953-02-28,,,,,,,,,25,-5.9,3.1
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195303,"Water - Precipitation - rain & snow (""mixed"")",1953-03-15,1953-03-01,1953-03-31,,,,,,,,,106,-0.3,4.7
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195304,"Water - Precipitation - rain & snow (""mixed"")",1953-04-15,1953-04-01,1953-04-30,,,,,,,,,64,5.6,6.1
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195305,Water - Precipitation - rain,1953-05-15,1953-05-01,1953-05-31,,,,,,,,,54,13.8,10
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195306,Water - Precipitation - rain,1953-06-15,1953-06-01,1953-06-30,,,,,,,,,66,18.5,14
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195307,Water - Precipitation - rain,1953-07-15,1953-07-01,1953-07-31,,,,,,,,,50,21,17.6
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195308,Water - Precipitation - rain,1953-08-15,1953-08-01,1953-08-31,,,,,,19.8,,Chalk River Nuclear Laboratories,64,19.6,15.5
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195309,Water - Precipitation - rain,1953-09-15,1953-09-01,1953-09-30,,,,,,26.3,,Chalk River Nuclear Laboratories,105,14.6,12.7
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195310,Water - Precipitation - rain,1953-10-15,1953-10-01,1953-10-31,,,,,,24.3,,Chalk River Nuclear Laboratories,30,9.1,8.4
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195311,"Water - Precipitation - rain & snow (""mixed"")",1953-11-15,1953-11-01,1953-11-30,,,,,,39,,Chalk River Nuclear Laboratories,33,4.3,6.3
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195312,"Water - Precipitation - rain & snow (""mixed"")",1953-12-15,1953-12-01,1953-12-31,,,,,,27.2,,Chalk River Nuclear Laboratories,89,3.1,3.9
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195401,"Water - Precipitation - rain & snow (""mixed"")",1954-01-15,1954-01-01,1954-01-31,,,,,,28,,Chalk River Nuclear Laboratories,84,-13.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195402,Water - Precipitation - snow,1954-02-15,1954-02-01,1954-02-28,,,,,,,,,85,-5.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195403,"Water - Precipitation - rain & snow (""mixed"")",1954-03-15,1954-03-01,1954-03-31,,,,,,830,,Chalk River Nuclear Laboratories,78,-3.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195404,"Water - Precipitation - rain & snow (""mixed"")",1954-04-15,1954-04-01,1954-04-30,,,,,,724,,Chalk River Nuclear Laboratories,116,5.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195405,Water - Precipitation - rain,1954-05-15,1954-05-01,1954-05-31,,,,,,894,,Chalk River Nuclear Laboratories,81,12.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195406,Water - Precipitation - rain,1954-06-15,1954-06-01,1954-06-30,,,,,,309,,Chalk River Nuclear Laboratories,100,18,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195407,Water - Precipitation - rain,1954-07-15,1954-07-01,1954-07-31,,,,,,233,,Chalk River Nuclear Laboratories,40,19.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195408,Water - Precipitation - rain,1954-08-15,1954-08-01,1954-08-31,,,,,,134,,Chalk River Nuclear Laboratories,89,17.9,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195409,Water - Precipitation - rain,1954-09-15,1954-09-01,1954-09-30,,,,,,66,,Chalk River Nuclear Laboratories,125,13.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195410,Water - Precipitation - rain,1954-10-15,1954-10-01,1954-10-31,,,,,,33,,Chalk River Nuclear Laboratories,66,9.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195411,"Water - Precipitation - rain & snow (""mixed"")",1954-11-15,1954-11-01,1954-11-30,,,,,,42,,Chalk River Nuclear Laboratories,110,2.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195412,"Water - Precipitation - rain & snow (""mixed"")",1954-12-15,1954-12-01,1954-12-31,,,,,,27,,Chalk River Nuclear Laboratories,134,-7,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195501,Water - Precipitation - snow,1955-01-15,1955-01-01,1955-01-31,,,,,,23,,Chalk River Nuclear Laboratories,37,-12.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195502,Water - Precipitation - snow,1955-02-15,1955-02-01,1955-02-28,,,,,,35,,Chalk River Nuclear Laboratories,47,-8.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195503,"Water - Precipitation - rain & snow (""mixed"")",1955-03-15,1955-03-01,1955-03-31,,,,,,46,,Chalk River Nuclear Laboratories,106,-4.4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195504,"Water - Precipitation - rain & snow (""mixed"")",1955-04-15,1955-04-01,1955-04-30,,,,,,51,,Chalk River Nuclear Laboratories,42,7.5,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195505,Water - Precipitation - rain,1955-05-15,1955-05-01,1955-05-31,,,,,,92,,Chalk River Nuclear Laboratories,42,14.7,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195506,Water - Precipitation - rain,1955-06-15,1955-06-01,1955-06-30,,,,,,99,,Chalk River Nuclear Laboratories,49,19.7,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195507,Water - Precipitation - rain,1955-07-15,1955-07-01,1955-07-31,,,,,,37,,Chalk River Nuclear Laboratories,31,23.7,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195508,Water - Precipitation - rain,1955-08-15,1955-08-01,1955-08-31,,,,,,27,,Chalk River Nuclear Laboratories,69,22,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195509,Water - Precipitation - rain,1955-09-15,1955-09-01,1955-09-30,,,,,,49,,Chalk River Nuclear Laboratories,54,14.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195510,"Water - Precipitation - rain & snow (""mixed"")",1955-10-15,1955-10-01,1955-10-31,,,,,,23,,Chalk River Nuclear Laboratories,183,9.3,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195511,"Water - Precipitation - rain & snow (""mixed"")",1955-11-15,1955-11-01,1955-11-30,,,,,,24,,Chalk River Nuclear Laboratories,27,0.4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195512,Water - Precipitation - snow,1955-12-15,1955-12-01,1955-12-31,,,,,,31,,Chalk River Nuclear Laboratories,35,-10.4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195601,Water - Precipitation - snow,1956-01-15,1956-01-01,1956-01-31,,,,,,66,,Chalk River Nuclear Laboratories,40,-8.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195602,Water - Precipitation - snow,1956-02-15,1956-02-01,1956-02-29,,,,,,64.5,,Chalk River Nuclear Laboratories,58,-7.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195603,"Water - Precipitation - rain & snow (""mixed"")",1956-03-15,1956-03-01,1956-03-31,,,,,,108,,Chalk River Nuclear Laboratories,55,-5.3,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195604,"Water - Precipitation - rain & snow (""mixed"")",1956-04-15,1956-04-01,1956-04-30,,,,,,110,,Chalk River Nuclear Laboratories,121,3.9,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195605,"Water - Precipitation - rain & snow (""mixed"")",1956-05-15,1956-05-01,1956-05-31,,,,,,205,,Chalk River Nuclear Laboratories,106,9.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195606,Water - Precipitation - rain,1956-06-15,1956-06-01,1956-06-30,,,,,,227,,Chalk River Nuclear Laboratories,66,17.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195607,Water - Precipitation - rain,1956-07-15,1956-07-01,1956-07-31,,,,,,226,,Chalk River Nuclear Laboratories,75,18.4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195608,Water - Precipitation - rain,1956-08-15,1956-08-01,1956-08-31,,,,,,451,,Chalk River Nuclear Laboratories,129,18.3,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195609,Water - Precipitation - rain,1956-09-15,1956-09-01,1956-09-30,,,,,,114,,Chalk River Nuclear Laboratories,23,12.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195610,Water - Precipitation - rain,1956-10-15,1956-10-01,1956-10-31,,,,,,82,,Chalk River Nuclear Laboratories,27,9.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195611,"Water - Precipitation - rain & snow (""mixed"")",1956-11-15,1956-11-01,1956-11-30,,,,,,49,,Chalk River Nuclear Laboratories,53,1.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195612,Water - Precipitation - snow,1956-12-15,1956-12-01,1956-12-31,,,,,,46,,Chalk River Nuclear Laboratories,47,-6.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195701,"Water - Precipitation - rain & snow (""mixed"")",1957-01-15,1957-01-01,1957-01-31,,,,,,100,,Chalk River Nuclear Laboratories,70,-13.4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195702,"Water - Precipitation - rain & snow (""mixed"")",1957-02-15,1957-02-01,1957-02-28,,,,,,139,,Chalk River Nuclear Laboratories,42,-6.5,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195703,"Water - Precipitation - rain & snow (""mixed"")",1957-03-15,1957-03-01,1957-03-31,,,,,,98,,Chalk River Nuclear Laboratories,14,-1.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195704,"Water - Precipitation - rain & snow (""mixed"")",1957-04-15,1957-04-01,1957-04-30,,,,,,92,,Chalk River Nuclear Laboratories,50,7,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195705,Water - Precipitation - rain,1957-05-15,1957-05-01,1957-05-31,,,,,,161,,Chalk River Nuclear Laboratories,41,12.5,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195706,Water - Precipitation - rain,1957-06-15,1957-06-01,1957-06-30,,,,,,141,,Chalk River Nuclear Laboratories,121,19.3,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195707,Water - Precipitation - rain,1957-07-15,1957-07-01,1957-07-31,,,,,,181,,Chalk River Nuclear Laboratories,58,20.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195708,Water - Precipitation - rain,1957-08-15,1957-08-01,1957-08-31,,,,,,149,,Chalk River Nuclear Laboratories,8,18.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195709,Water - Precipitation - rain,1957-09-15,1957-09-01,1957-09-30,,,,,,130,,Chalk River Nuclear Laboratories,106,15.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195710,Water - Precipitation - rain,1957-10-15,1957-10-01,1957-10-31,,,,,,96,,Chalk River Nuclear Laboratories,65,8.5,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195711,"Water - Precipitation - rain & snow (""mixed"")",1957-11-15,1957-11-01,1957-11-30,,,,,,73,,Chalk River Nuclear Laboratories,87,2.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195712,"Water - Precipitation - rain & snow (""mixed"")",1957-12-15,1957-12-01,1957-12-31,,,,,,85,,Chalk River Nuclear Laboratories,73,-3.5,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195801,Water - Precipitation - snow,1958-01-15,1958-01-01,1958-01-31,,,,,,243,,Chalk River Nuclear Laboratories,69,-8.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195802,Water - Precipitation - snow,1958-02-15,1958-02-01,1958-02-28,,,,,,275,,Chalk River Nuclear Laboratories,89,-11.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195803,Water - Precipitation - snow,1958-03-15,1958-03-01,1958-03-31,,,,,,275,,Chalk River Nuclear Laboratories,36,0.5,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195804,"Water - Precipitation - rain & snow (""mixed"")",1958-04-15,1958-04-01,1958-04-30,,,,,,390,,Chalk River Nuclear Laboratories,45,7.4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195805,Water - Precipitation - rain,1958-05-15,1958-05-01,1958-05-31,,,,,,570,,Chalk River Nuclear Laboratories,36,10.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195806,Water - Precipitation - rain,1958-06-15,1958-06-01,1958-06-30,,,,,,850,,Chalk River Nuclear Laboratories,70,15.3,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195807,Water - Precipitation - rain,1958-07-15,1958-07-01,1958-07-31,,,,,,800,,Chalk River Nuclear Laboratories,144,19.9,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195808,Water - Precipitation - rain,1958-08-15,1958-08-01,1958-08-31,,,,,,1475,,Chalk River Nuclear Laboratories,107,18.9,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195809,Water - Precipitation - rain,1958-09-15,1958-09-01,1958-09-30,,,,,,330,,Chalk River Nuclear Laboratories,100,14.6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195810,Water - Precipitation - rain,1958-10-15,1958-10-01,1958-10-31,,,,,,140,,Chalk River Nuclear Laboratories,61,7.8,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195811,"Water - Precipitation - rain & snow (""mixed"")",1958-11-15,1958-11-01,1958-11-30,,,,,,236,,Chalk River Nuclear Laboratories,55,2.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195812,Water - Precipitation - snow,1958-12-15,1958-12-01,1958-12-31,,,,,,600,,Chalk River Nuclear Laboratories,43,-12.9,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195901,"Water - Precipitation - rain & snow (""mixed"")",1959-01-15,1959-01-01,1959-01-31,,,,,,731,,Chalk River Nuclear Laboratories,79,-11.1,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195902,"Water - Precipitation - rain & snow (""mixed"")",1959-02-15,1959-02-01,1959-02-28,,,,,,883,,Chalk River Nuclear Laboratories,74,-12.2,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195903,"Water - Precipitation - rain & snow (""mixed"")",1959-03-15,1959-03-01,1959-03-31,,,,,,1246,,Chalk River Nuclear Laboratories,58,-4,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195904,"Water - Precipitation - rain & snow (""mixed"")",1959-04-15,1959-04-01,1959-04-30,,,,,,996,,Chalk River Nuclear Laboratories,32,6,
GNIP,GNIP/M/CA/01,OTTAWA (ONTARIO),CA,7162800,45.32,-75.67,114,Precipitation collectors - unknown,[Partners: CNIP],195905,Water - Precipitation - rain,1959-05-15,1959-05-01,1959-05-31,,,,,,648,,Chalk River Nuclear Laboratories,24,14.3,
